CUSTOMER_ID,PRODUCT_ID,Semana,probabilidad_compra
33074.0,414.0,27,0.56
33074.0,414.0,27,0.56
33074.0,42.0,27,0.49
33074.0,42.0,27,0.49
33074.0,420.0,27,0.58
33074.0,420.0,27,0.58
33074.0,425.0,27,0.6
33074.0,428.0,27,0.6
33074.0,43.0,27,0.49
33074.0,43.0,27,0.49
33074.0,430.0,27,0.61
33074.0,430.0,27,0.61
33074.0,432.0,27,0.62
33074.0,433.0,27,0.62
33074.0,437.0,27,0.64
33074.0,437.0,27,0.64
33074.0,438.0,27,0.64
33074.0,441.0,27,0.64
33074.0,441.0,27,0.64
33074.0,443.0,27,0.64
33074.0,445.0,27,0.64
33074.0,445.0,27,0.64
33074.0,448.0,27,0.64
33074.0,450.0,27,0.62
33074.0,458.0,27,0.56
33074.0,459.0,27,0.56
33074.0,465.0,27,0.54
33074.0,471.0,27,0.53
33074.0,482.0,27,0.53
33074.0,493.0,27,0.49
33074.0,5.0,27,0.32
33074.0,501.0,27,0.45
33074.0,501.0,27,0.45
33074.0,524.0,27,0.41
33074.0,524.0,27,0.41
33074.0,524.0,27,0.41
33074.0,524.0,27,0.41
33074.0,535.0,27,0.44
33074.0,547.0,27,0.45
33074.0,556.0,27,0.4
33074.0,564.0,27,0.41
33074.0,57.0,27,0.47
33074.0,57.0,27,0.47
33074.0,573.0,27,0.41
33074.0,589.0,27,0.48
33074.0,59.0,27,0.47
33074.0,59.0,27,0.47
33074.0,61.0,27,0.46
33074.0,61.0,27,0.46
33074.0,613.0,27,0.48
33074.0,615.0,27,0.48
33074.0,62.0,27,0.46
33074.0,63.0,27,0.46
33074.0,674.0,27,0.36
33074.0,674.0,27,0.36
33074.0,674.0,27,0.36
33074.0,68.0,27,0.51
33074.0,695.0,27,0.34
33074.0,70.0,27,0.53
33074.0,706.0,27,0.35
33074.0,714.0,27,0.36
33074.0,757.0,27,0.45
33074.0,757.0,27,0.45
33074.0,757.0,27,0.45
33074.0,757.0,27,0.45
33074.0,762.0,27,0.44
33074.0,79.0,27,0.52
33074.0,80.0,27,0.53
33074.0,811.0,27,0.33
33074.0,814.0,27,0.33
33074.0,838.0,27,0.35
33074.0,84.0,27,0.53
33074.0,858.0,27,0.4
33074.0,871.0,27,0.41
33074.0,882.0,27,0.36
33074.0,883.0,27,0.36
33074.0,887.0,27,0.36
33074.0,896.0,27,0.34
33074.0,896.0,27,0.34
33074.0,92.0,27,0.47
33074.0,986.0,27,0.36
33116.0,1.0,27,0.23
33116.0,1.0,27,0.23
33116.0,1.0,27,0.23
33116.0,10.0,27,0.33
33116.0,103.0,27,0.51
33116.0,1038.0,27,0.37
33116.0,1038.0,27,0.37
33116.0,1051.0,27,0.37
33116.0,107.0,27,0.5
33116.0,108.0,27,0.49
33116.0,1105.0,27,0.45
33116.0,1105.0,27,0.45
33116.0,1109.0,27,0.46
33116.0,1109.0,27,0.46
33116.0,1115.0,27,0.46
33116.0,1125.0,27,0.45
33116.0,1125.0,27,0.45
33116.0,1125.0,27,0.45
33116.0,1125.0,27,0.45
33116.0,113.0,27,0.59
33116.0,113.0,27,0.59
33116.0,1139.0,27,0.42
33116.0,1139.0,27,0.42
33116.0,1140.0,27,0.43
33116.0,1140.0,27,0.43
33116.0,1140.0,27,0.43
33116.0,1162.0,27,0.4
33116.0,117.0,27,0.61
33116.0,1179.0,27,0.4
33116.0,1179.0,27,0.4
33116.0,118.0,27,0.61
33116.0,118.0,27,0.61
33116.0,118.0,27,0.61
33116.0,1180.0,27,0.4
33116.0,1180.0,27,0.4
33116.0,1181.0,27,0.4
33116.0,1181.0,27,0.4
33116.0,1181.0,27,0.4
33116.0,1183.0,27,0.41
33116.0,1189.0,27,0.41
33116.0,1189.0,27,0.41
33116.0,119.0,27,0.61
33116.0,1202.0,27,0.39
33116.0,122.0,27,0.58
33116.0,122.0,27,0.58
33116.0,1230.0,27,0.4
33116.0,125.0,27,0.64
33116.0,1262.0,27,0.4
33116.0,1262.0,27,0.4
33116.0,1266.0,27,0.4
33116.0,127.0,27,0.61
33116.0,1276.0,27,0.44
33116.0,128.0,27,0.61
33116.0,128.0,27,0.61
33116.0,128.0,27,0.61
33116.0,131.0,27,0.47
33116.0,131.0,27,0.47
33116.0,132.0,27,0.47
33116.0,133.0,27,0.46
33116.0,136.0,27,0.46
33116.0,136.0,27,0.46
33116.0,136.0,27,0.46
33116.0,137.0,27,0.47
33116.0,138.0,27,0.47
33116.0,141.0,27,0.47
33116.0,142.0,27,0.47
33116.0,144.0,27,0.48
33116.0,1449.0,27,0.45
33116.0,145.0,27,0.48
33116.0,145.0,27,0.48
33116.0,1474.0,27,0.43
33116.0,1475.0,27,0.42
33116.0,150.0,27,0.47
33116.0,150.0,27,0.47
33116.0,150.0,27,0.47
33116.0,152.0,27,0.47
33116.0,152.0,27,0.47
33116.0,158.0,27,0.47
33116.0,158.0,27,0.47
33116.0,158.0,27,0.47
33116.0,159.0,27,0.47
33116.0,160.0,27,0.47
33116.0,161.0,27,0.48
33116.0,161.0,27,0.48
33116.0,162.0,27,0.48
33116.0,162.0,27,0.48
33116.0,164.0,27,0.48
33116.0,167.0,27,0.51
33116.0,167.0,27,0.51
33116.0,169.0,27,0.5
33116.0,172.0,27,0.47
33116.0,174.0,27,0.49
33116.0,174.0,27,0.49
33116.0,174.0,27,0.49
33116.0,176.0,27,0.49
33116.0,176.0,27,0.49
33116.0,176.0,27,0.49
33116.0,178.0,27,0.5
33116.0,178.0,27,0.5
33116.0,178.0,27,0.5
33116.0,179.0,27,0.49
33116.0,179.0,27,0.49
33116.0,180.0,27,0.48
33116.0,180.0,27,0.48
33116.0,182.0,27,0.49
33116.0,182.0,27,0.49
33116.0,182.0,27,0.49
33116.0,186.0,27,0.49
